budget,request_index,phase,step,prompt_tokens,cache_hit_tokens,cache_miss_tokens,cache_hit_rate,output_tokens,timestamp
256k,51,main,51,112502,111744,758,0.9932623420028088,278,2026-09-14T10:14:17.281935Z
256k,52,main,52,113007,112000,1007,0.9910890475811233,357,2026-09-14T10:14:29.004241Z
256k,53,main,53,113751,112512,1239,0.9891077880634016,363,2026-09-14T10:14:38.406430Z
256k,54,main,54,114220,113280,940,0.9917702679040449,907,2026-09-14T10:14:48.995802Z
256k,55,main,55,115340,113792,1548,0.986578810473383,92,2026-09-14T10:15:06.717961Z
256k,56,main,56,115569,114816,753,0.9934844119097682,118,2026-09-14T10:16:14.409538Z
256k,57,main,57,115824,115072,752,0.993507390523553,128,2026-09-14T10:16:52.299889Z
256k,58,main,58,115900,115328,572,0.9950647109577222,109,2026-09-14T10:24:55.512091Z
256k,59,main,59,117641,115456,2185,0.9814265434669885,1075,2026-09-14T10:25:04.539902Z
256k,60,main,60,118848,117248,1600,0.9865374259558427,111,2026-09-14T10:25:10.349222Z
256k,61,main,61,120687,118400,2287,0.9810501545319711,1240,2026-09-14T10:25:20.007220Z
256k,62,main,62,122310,120320,1990,0.9837298667320742,339,2026-09-14T10:25:26.736722Z
256k,63,main,63,122932,121856,1076,0.9912471935704292,256,2026-09-14T10:25:34.554593Z
256k,64,main,64,123309,122496,813,0.9934068072890057,271,2026-09-14T10:25:42.298407Z
256k,65,main,65,123808,122880,928,0.9925045231325924,1295,2026-09-14T10:25:53.654129Z
256k,66,main,66,125202,123392,1810,0.9855433619271258,898,2026-09-14T10:26:02.167500Z
256k,67,main,67,126292,124800,1492,0.9881861083837457,558,2026-09-14T10:26:10.381004Z
256k,68,main,68,127461,125952,1509,0.988161084567044,937,2026-09-14T10:26:19.875677Z
256k,69,main,69,128695,127104,1591,0.9876374373518785,483,2026-09-14T10:26:29.641489Z
256k,70,main,70,129689,128256,1433,0.9889504892473533,181,2026-09-14T10:26:36.604030Z
256k,71,main,71,130924,129280,1644,0.9874430967584248,1373,2026-09-14T10:26:46.129826Z
256k,72,main,72,132630,130560,2070,0.9843926713413255,1141,2026-09-14T10:26:55.713423Z
256k,73,main,73,134104,132224,1880,0.9859810296486309,1302,2026-09-14T10:27:05.242031Z
256k,74,main,74,135512,133760,1752,0.9870712556821536,282,2026-09-14T10:27:13.250685Z
256k,75,main,75,136072,135168,904,0.9933564583455817,1855,2026-09-14T10:27:29.876646Z
256k,76,main,76,138042,135680,2362,0.9828892655858362,1259,2026-09-14T10:27:39.678287Z
256k,77,main,77,139510,137600,1910,0.9863092251451508,75,2026-09-14T10:27:58.093243Z
256k,78,main,78,139694,139008,686,0.9950892665397225,633,2026-09-14T10:28:05.869535Z
256k,79,main,79,140420,139264,1156,0.9917675544794189,129,2026-09-14T10:28:12.896176Z
256k,80,main,80,141890,140032,1858,0.98690534921418,1396,2026-09-14T10:28:22.814766Z
256k,81,main,81,143828,141440,2388,0.983396835108602,1757,2026-09-14T10:28:36.550963Z
256k,82,main,82,145788,143488,2300,0.9842236672428458,75,2026-09-14T10:28:55.720053Z
256k,83,main,83,145936,145280,656,0.9955048788510031,1082,2026-09-14T10:29:06.522387Z
256k,84,main,84,147151,145536,1615,0.9890248792057139,958,2026-09-14T10:29:16.749157Z
256k,85,main,85,148248,146816,1432,0.9903405104959258,526,2026-09-14T10:29:24.913143Z
256k,86,main,86,149377,147840,1537,0.9897105980170977,1478,2026-09-14T10:29:35.408045Z
256k,87,main,87,150955,148992,1963,0.9869961246729158,215,2026-09-14T10:29:48.039116Z
256k,88,main,88,151404,150528,876,0.9942141555044781,1229,2026-09-14T10:29:57.921262Z
256k,89,main,89,152930,151040,1890,0.9876414045641797,170,2026-09-14T10:30:05.028090Z
256k,90,main,90,153220,152576,644,0.9957968933559588,381,2026-09-14T10:30:12.196181Z
256k,91,main,91,153879,152832,1047,0.9931959526641062,588,2026-09-14T10:30:26.051197Z
256k,92,main,92,154764,153472,1292,0.9916518053294048,88,2026-09-14T10:30:33.416912Z
256k,93,main,93,155164,154368,796,0.9948699440591889,168,2026-09-14T10:30:39.441375Z
256k,94,main,94,155568,154752,816,0.9947547053378587,381,2026-09-14T10:30:46.118194Z
256k,95,main,95,156225,155136,1089,0.9930292846855497,332,2026-09-14T10:31:00.048548Z
256k,96,main,96,156665,155776,889,0.9943254715475697,1082,2026-09-14T10:31:14.299200Z
256k,97,main,97,157909,156288,1621,0.989734593975011,133,2026-09-14T10:31:20.709707Z
256k,98,main,98,158995,157568,1427,0.9910248749960691,118,2026-09-14T10:31:27.067745Z
256k,99,main,99,159568,158592,976,0.9938834854106087,1617,2026-09-14T10:31:37.780947Z
256k,100,main,100,161271,159232,2039,0.9873566853309026,859,2026-09-14T10:31:49.603324Z
256k,101,main,101,162453,160896,1557,0.9904156894609518,1015,2026-09-14T10:31:59.105451Z
256k,102,main,102,163672,162048,1624,0.9900777164084266,76,2026-09-14T10:32:18.803256Z
256k,103,main,103,163812,163200,612,0.9962640099626401,951,2026-09-14T10:32:33.177588Z
256k,104,main,104,164876,163456,1420,0.9913874669448556,128,2026-09-14T10:32:40.663740Z
256k,105,main,105,166509,164480,2029,0.9878144724909764,2157,2026-09-14T10:32:53.930419Z
256k,106,main,106,168739,166144,2595,0.984621219753584,1829,2026-09-14T10:33:06.224775Z
256k,107,main,107,170660,168320,2340,0.9862885268955819,625,2026-09-14T10:33:15.573027Z
256k,108,main,108,171376,170240,1136,0.9933713005321632,1274,2026-09-14T10:33:31.802827Z
256k,109,main,109,172856,171008,1848,0.9893090202249271,73,2026-09-14T10:33:51.904272Z
256k,110,main,110,173068,172416,652,0.9962326946633693,73,2026-09-14T10:35:01.866791Z
256k,111,main,111,173275,172544,731,0.9957812725436445,73,2026-09-14T10:36:11.731472Z
256k,112,main,112,173486,172800,686,0.9960457904384216,73,2026-09-14T10:37:21.599135Z
256k,113,main,113,173593,173056,537,0.9969065572920567,824,2026-09-14T10:37:29.913802Z
256k,114,main,114,174531,173184,1347,0.992282173367482,1122,2026-09-14T10:37:41.503405Z
256k,115,main,115,,,,,,2026-09-14T10:37:51.447265Z
256k,116,finalizing,114,172985,640,172345,0.003699742752261757,1162,2026-09-14T10:38:06.920606Z
512k,1,main,1,3905,3712,193,0.9505761843790013,93,2026-09-14T09:47:32.640886Z
512k,2,main,2,4222,3968,254,0.9398389388915206,85,2026-09-14T09:47:35.138421Z
512k,3,main,3,8189,4224,3965,0.5158138966906827,96,2026-09-14T09:47:38.259087Z
512k,4,main,4,13727,8192,5535,0.5967800684781817,159,2026-09-14T09:47:42.341761Z
512k,5,main,5,14366,13824,542,0.9622720311847418,109,2026-09-14T09:47:45.283989Z
512k,6,main,6,14891,14464,427,0.9713249613860722,335,2026-09-14T09:47:49.191846Z
512k,7,main,7,15632,15104,528,0.9662231320368475,150,2026-09-14T09:47:52.496764Z
512k,8,main,8,19989,15744,4245,0.7876331982590424,196,2026-09-14T09:47:55.996467Z
512k,9,main,9,27470,20096,7374,0.7315617036767382,198,2026-09-14T09:47:59.714251Z
512k,10,main,10,33930,27648,6282,0.8148541114058355,78,2026-09-14T09:48:04.861913Z
512k,11,main,11,38452,33920,4532,0.882138770415063,105,2026-09-14T09:48:08.758764Z
512k,12,main,12,42556,38400,4156,0.902340445530595,140,2026-09-14T09:48:14.532904Z
512k,13,main,13,48297,42496,5801,0.8798890200219476,77,2026-09-14T09:48:19.140833Z
512k,14,main,14,52674,48256,4418,0.9161256027641721,85,2026-09-14T09:48:23.380367Z
512k,15,main,15,57285,52736,4549,0.9205900322946671,173,2026-09-14T09:48:27.813504Z
512k,16,main,16,61694,57344,4350,0.9294907122248517,203,2026-09-14T09:48:32.666434Z
512k,17,main,17,62611,61824,787,0.9874303237450288,987,2026-09-14T09:48:39.739817Z
512k,18,main,18,68087,63488,4599,0.932454066121286,154,2026-09-14T09:48:44.276142Z
512k,19,main,19,71069,68224,2845,0.9599684813350406,167,2026-09-14T09:48:49.117949Z
512k,20,main,20,73737,71168,2569,0.9651599603997992,104,2026-09-14T09:48:53.755327Z
512k,21,main,21,74644,73728,916,0.9877284175553293,67,2026-09-14T09:48:58.067081Z
512k,22,main,22,75173,74624,549,0.992696845942027,685,2026-09-14T09:49:04.440652Z
512k,23,main,23,75963,75776,187,0.9975382752129326,525,2026-09-14T09:49:10.422501Z
512k,24,main,24,76804,76416,388,0.994948179782303,156,2026-09-14T09:49:15.255265Z
512k,25,main,25,77359,76928,431,0.9944285732752491,3465,2026-09-14T09:49:31.847550Z
512k,26,main,26,82525,80768,1757,0.9787094819751591,1562,2026-09-14T09:49:40.832532Z
512k,27,main,27,84302,83968,334,0.9960380536642073,113,2026-09-14T09:49:45.519521Z
512k,28,main,28,84935,84352,583,0.9931359274739506,2866,2026-09-14T09:49:59.128701Z
512k,29,main,29,89153,87680,1473,0.9834778414635514,269,2026-09-14T09:50:04.136917Z
512k,30,main,30,91757,89344,2413,0.9737022788452108,1750,2026-09-14T09:50:14.373133Z
512k,31,main,31,96697,93440,3257,0.9663174658986318,762,2026-09-14T09:50:21.193016Z
512k,32,main,32,100277,97408,2869,0.97138925177259,2711,2026-09-14T09:50:33.942848Z
512k,33,main,33,103067,102912,155,0.9984961238805825,88,2026-09-14T09:50:39.968899Z
512k,34,main,34,103309,103040,269,0.9973961610314687,134,2026-09-14T09:50:45.621738Z
512k,35,main,35,103546,103296,250,0.9975856141231916,95,2026-09-14T09:50:50.492559Z
512k,36,main,36,103842,103552,290,0.9972072956992354,73,2026-09-14T09:51:07.193248Z
512k,37,main,37,104050,103552,498,0.9952138395002402,73,2026-09-14T09:51:29.654721Z
512k,38,main,38,104428,103936,492,0.9952886199103689,94,2026-09-14T09:52:07.079176Z
512k,39,main,39,104556,104320,236,0.9977428363747657,421,2026-09-14T09:52:12.857396Z
512k,40,main,40,105064,104832,232,0.9977918221274652,501,2026-09-14T09:52:19.608536Z
512k,41,main,41,106725,105472,1253,0.9882595455610214,1994,2026-09-14T09:52:33.431161Z
512k,42,main,42,108826,108672,154,0.9985848969915277,95,2026-09-14T09:52:38.941493Z
512k,43,main,43,109726,108800,926,0.9915607968940816,315,2026-09-14T09:52:47.284206Z
512k,44,main,44,111716,109952,1764,0.9842099609724659,115,2026-09-14T09:52:52.489410Z
512k,45,main,45,112802,111744,1058,0.9906207336749349,821,2026-09-14T09:53:00.579959Z
512k,46,main,46,115145,113536,1609,0.9860263146467497,1108,2026-09-14T09:53:09.320514Z
512k,47,main,47,118234,116224,2010,0.9829998139283117,1843,2026-09-14T09:53:19.890732Z
512k,48,main,48,120789,120064,725,0.9939977978127147,283,2026-09-14T09:53:26.645314Z
512k,49,main,49,121928,120960,968,0.9920608883931501,1424,2026-09-14T09:53:38.333528Z
512k,50,main,50,123901,123264,637,0.9948587985569124,970,2026-09-14T09:53:46.821730Z
512k,51,main,51,125447,124800,647,0.9948424434223218,345,2026-09-14T09:53:53.674841Z
512k,52,main,52,126695,125696,999,0.9921149216622598,725,2026-09-14T09:54:04.029448Z
512k,53,main,53,128322,127360,962,0.9925032340518384,531,2026-09-14T09:54:10.851048Z
512k,54,main,54,130470,128768,1702,0.9869548555223423,1953,2026-09-14T09:54:22.556237Z
512k,55,main,55,132511,132352,159,0.9988000996143717,1732,2026-09-14T09:54:32.905397Z
512k,56,main,56,134573,134144,429,0.9968121391363796,1219,2026-09-14T09:54:43.622374Z
512k,57,main,57,135925,135680,245,0.9981975354055546,92,2026-09-14T09:54:49.370738Z
512k,58,main,58,136403,135808,595,0.9956379258520707,425,2026-09-14T09:54:55.754965Z
512k,59,main,59,136906,136576,330,0.9975895870159087,95,2026-09-14T09:55:01.145206Z
512k,60,main,60,137810,136960,850,0.993832087656919,529,2026-09-14T09:55:11.277275Z
512k,61,main,61,138654,138240,414,0.9970141503310399,449,2026-09-14T09:55:19.040579Z
512k,62,main,62,139202,139008,194,0.9986063418629043,268,2026-09-14T09:55:25.065986Z
512k,63,main,63,139679,139392,287,0.9979452888408422,197,2026-09-14T09:55:32.126555Z
512k,64,main,64,140526,139648,878,0.9937520458847473,593,2026-09-14T09:55:41.043934Z
512k,65,main,65,141344,140928,416,0.997056825899932,700,2026-09-14T09:55:49.395935Z
512k,66,main,66,142965,141952,1013,0.9929143496660021,153,2026-09-14T09:55:56.130343Z
512k,67,main,67,143213,142976,237,0.9983451223003498,124,2026-09-14T09:56:02.851289Z
512k,68,main,68,143870,143232,638,0.9955654410231459,3205,2026-09-14T09:56:20.352710Z
512k,69,main,69,147343,147072,271,0.9981607541586638,1260,2026-09-14T09:56:32.010045Z
512k,70,main,70,148937,148480,457,0.9969315885240068,2491,2026-09-14T09:56:46.750686Z
512k,71,main,71,151562,151424,138,0.9990894815323103,737,2026-09-14T09:56:56.432088Z
512k,72,main,72,152642,152192,450,0.9970519254202644,148,2026-09-14T09:57:03.728482Z
512k,73,main,73,153187,152704,483,0.996846990932651,575,2026-09-14T09:57:13.698829Z
512k,74,main,74,153841,153600,241,0.9984334475204919,1028,2026-09-14T09:57:24.785115Z
512k,75,main,75,155162,154752,410,0.9973576004434075,1154,2026-09-14T09:57:34.806036Z
512k,76,main,76,156629,156288,341,0.9978228808202824,967,2026-09-14T09:57:44.880324Z
512k,77,main,77,158363,157568,795,0.9949798879788839,2550,2026-09-14T09:57:58.663077Z
512k,78,main,78,161123,160896,227,0.998591138447025,558,2026-09-14T09:58:07.790750Z
512k,79,main,79,161769,161536,233,0.9985596745977289,1657,2026-09-14T09:58:20.201812Z
512k,80,main,80,163637,163328,309,0.9981116740101567,131,2026-09-14T09:58:27.647966Z
512k,81,main,81,164074,163712,362,0.9977936784621573,224,2026-09-14T09:58:35.689327Z
512k,82,main,82,164397,164224,173,0.998947669361363,74,2026-09-14T09:58:41.398313Z
512k,83,main,83,164718,164224,494,0.9970009349312158,804,2026-09-14T09:58:49.558735Z
512k,84,main,84,166220,165376,844,0.9949223920105884,1504,2026-09-14T09:59:01.896679Z
512k,85,main,85,168003,167680,323,0.9980774152842509,608,2026-09-14T09:59:14.203863Z
512k,86,main,86,169238,168576,662,0.996088348952363,1015,2026-09-14T09:59:24.824697Z
512k,87,main,87,170578,170240,338,0.9980185017997631,3446,2026-09-14T09:59:43.033197Z
512k,88,main,88,174125,173952,173,0.9990064608758076,210,2026-09-14T09:59:50.507514Z
512k,89,main,89,174724,174208,516,0.9970467709072595,1967,2026-09-14T10:00:03.945284Z
512k,90,main,90,176768,176512,256,0.998551774076756,762,2026-09-14T10:00:13.735573Z
512k,91,main,91,177706,177408,298,0.9983230729406998,644,2026-09-14T10:00:23.110971Z
512k,92,main,92,178877,178304,573,0.9967966815185854,433,2026-09-14T10:00:32.162262Z
512k,93,main,93,179475,179072,403,0.9977545619167015,1801,2026-09-14T10:00:43.178526Z
512k,94,main,94,181555,181120,435,0.9976040318360827,756,2026-09-14T10:00:52.889587Z
512k,95,main,95,182603,182272,331,0.9981873244141662,1036,2026-09-14T10:01:03.405781Z
512k,96,main,96,184014,183552,462,0.9974893214646712,1736,2026-09-14T10:01:15.715662Z
512k,97,main,97,185849,185600,249,0.9986602026376251,1038,2026-09-14T10:01:24.828225Z
512k,98,main,98,186964,186752,212,0.9988660918679532,137,2026-09-14T10:01:33.617015Z
512k,99,main,99,187619,187008,611,0.9967434001886802,300,2026-09-14T10:01:41.659311Z
512k,100,main,100,188232,187904,328,0.9982574695057164,2283,2026-09-14T10:01:57.208298Z
512k,101,main,101,191089,190464,625,0.9967292727472539,281,2026-09-14T10:02:05.487655Z
512k,102,main,102,191677,191360,317,0.9983461761192005,1014,2026-09-14T10:02:16.664316Z
512k,103,main,103,194083,192640,1443,0.9925650366080492,1551,2026-09-14T10:02:28.533366Z
512k,104,main,104,195711,195456,255,0.998697058417769,5006,2026-09-14T10:02:51.841019Z
512k,105,main,105,200794,200576,218,0.9989143101885515,991,2026-09-14T10:03:04.644656Z
512k,106,main,106,202215,201728,487,0.9975916722300522,609,2026-09-14T10:03:14.546630Z
512k,107,main,107,203080,202752,328,0.9983848729564704,529,2026-09-14T10:03:24.070233Z
512k,108,main,108,203945,203520,425,0.9979161048321852,1393,2026-09-14T10:03:36.170350Z
512k,109,main,109,205415,205184,231,0.9988754472652922,1253,2026-09-14T10:03:47.904233Z
512k,110,main,110,206767,206464,303,0.9985345824043489,516,2026-09-14T10:03:57.037090Z
512k,111,main,111,208271,207232,1039,0.995011307383169,32768,2026-09-14T10:05:49.163555Z
512k,112,finalizing,111,208008,640,207368,0.003076804738279297,1108,2026-09-14T10:06:03.033601Z
